Nombre,Puesto,Usuario,Ubicación ,Fecha de inicio,Fecha de término,Seguidores,Tweets hechos,Tweets respuesta,Componente SG,Edad,Comentarios
Brenda Espinoza Lopez,Diputada,@_BrendaEspinoza,Morelos,18-08-29,,,,,M,34,
María Bertha Espinoza Segura,Diputada,@BerthaEspinoza_,Veracruz,18-08-29,,,,,M,64,
María Magdalena Olivia Esquivel Nava,Diputada,@DiputadaOliviaE,Ciudad de México,21-08-29,,,,,M,68,
Shamir Fernández Hernández,Diputado,@shamir_fdz,Coahuila,21-08-29,,,,,H,46,
José Luis Flores Pacheco,Diputado,@Dip_JoseFlores,Campeche,21-08-29,,,,,H,35,
Marco Antonio Flores Sanchéz,Diputado,@marcoylajerez,Zacatecas,21-08-29,,,,,H,46,
Hamlet García Almaguer,Diputado,@hamlet_almaguer,Jalisco,21-08-29,,,,,H,35,
Lidia García Anaya,Diputada,,Hidalgo,18-08-29,,,,,M,64,
Otoniel García Montiel,Diputado,@OtonielGarcia4T,Hidalgo,21-08-29,,,,,H,34,
María Clemente García Moreno,Diputada,@MARIACLEMENTEMX,Ciudad de México,21-08-29,,,,,M,36,"Activista trans, errores tipográficos"
Zeus García Sandoval,Diputado,@Zeus_G_Sandoval,Oaxaca,21-08-29,,,,,H,31,
Marisol García Segura,Diputada,@marisolgase,Ciudad de México,21-08-29,,,,,M,49,
Olimpia Tamara Girón Hernández,Diputada,,Estado de México,21-08-29,,,,,M,48,
Leonel Godoy Rangel,Diputado,@leonelgodoy,Michoacán,21-08-29,,,,,H,72,
Alfredo Aurelio Gonzalez Cruz,Diputado,,Oaxaca,21-08-29,,,,,H,38,
Alma Anahí González Hernández,Diputada,@AnahiGonzalezQR,Quintana Roo,21-08-29,,,,,M,30,
Erasmo González Robledo,Diputado,@erasmoglz,Tamaulipas,21-08-29,,,,,H,50,
Juanita Guerra Mena,Diputada,@JuanitaGuerra_M,Morelos,18-08-29,,,,,M,39,
Antolín Guerrero Márquez,Diputado,@antolin_GroMarq,San Luis Potosí,21-08-29,,,,,H,60,
Oscar Eugenio Gutiérrez Camacho,Diputado,@OscarGtzCamacho,Ciudad de México,18-08-29,,,,,H,48,
Daniel Gutiérrez Gutiérrez,Diputado,@DanielGtz_Oax,Oaxaca,18-08-29,,,,,H,46,
Sergio Carlos Gutiérrez Luna,Diputado,@Sergeluna_S,Estado de México,18-08-29,,,,,H,46,
Rosa Hernandez Espejo,Diputada,@espejohernandez,Veracruz,21-08-29,,,,,M,60,
Saúl Hernández Hernández,Diputado,@HernsndezSaul,San Luis Potosí,21-08-29,,,,,H,50,
César Agustín Hernández Pérez,Diputado,@CesarAgustinH,Estado de México,18-08-29,,,,,H,42,
María Eugenia Hernández Pérez,Diputada,,Estado de México,21-08-29,,,,,M,61,Homónimo de perfil
Bennelly Jocabeth Hernández Ruedas,Diputada,@BennellyHernan2,Zacatecas,21-08-29,,,,,M,33,
Claudia Alejandra Hernández Sáenz,Diputada,@claudia_hdzs,Tamaulipas,21-08-29,,,,,M,45,
Arturo Roberto Hernández Tapia,Diputado,@ArturoHdezTapia,Estado de México,18-08-29,,,,,H,61,
Rafael Hernández Villalpando,Diputado,,Veracruz,18-08-29,,,,,H,74,
Mónica Herrera Villavicencio,Diputada,@MONICA_HEVILLA,Veracruz,21-08-29,,,,,M,36,
Javier Huerta Jurado,Diputado,,Estado de México,21-08-29,,,,,H,69,
Juan Carlos Irma,Diputado,@irmajuancarlos,Oaxaca,18-08-29,,,,,H,45,
Mario Rafael Llergo Latournerie,Diputado,@mariollergo,Tabasco,21-08-29,,,,,H,51,
Carlos López Guadarrama,Diputado,@CarlosLGMX,Estado de México,21-08-29,,,,,H,39,
